"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"1672065","10/11/2015","22:21","Rosângela Curado","MA","PDT","191684","Sim"
"1672065","10/11/2015","22:21","Ariosto Holanda","CE","PROS","74103","Sim"
"1672065","10/11/2015","22:21","Flavio Nogueira","PI","PDT","191923","Sim"
"1672065","10/11/2015","22:21","Zé Augusto Nalin","RJ","PMDB","191945","Sim"
"1672065","10/11/2015","22:21","Laura Carneiro","RJ","PMDB","74856","Sim"
"1672065","10/11/2015","22:21","Angela Albino","SC","PCdoB","192120","Sim"
"1672065","10/11/2015","22:21","Luiza Erundina","SP","PSB","74784","Não"
"1672065","10/11/2015","22:21","Roberto Alves","SP","PRB","152610","Sim"
"1672065","10/11/2015","22:21","Lázaro Botelho","TO","PP","141480","Sim"
"1672065","10/11/2015","22:21","Sérgio Brito","BA","PSD","73808","Sim"
"1672065","10/11/2015","22:21","Erivelton Santana","BA","PSC","99654","Não"
"1672065","10/11/2015","22:21","Osmar Serraglio","PR","PMDB","73463","Sim"
"1672065","10/11/2015","22:21","Bruno Araújo","PE","PSDB","141394","Não"
"1672065","10/11/2015","22:21","Dimas Fabiano","MG","PP","160599","Não"
"1672065","10/11/2015","22:21","Chico D Angelo","RJ","PT","141439","Sim"
"1672065","10/11/2015","22:21","Hélio Leite","PA","DEM","178909","Não"
"1672065","10/11/2015","22:21","Maria do Rosário","RS","PT","74398","Sim"
"1672065","10/11/2015","22:21","Odorico Monteiro","CE","PT","178868","Sim"
"1672065","10/11/2015","22:21","Carlos Gomes","RS","PRB","178962","Abstenção"
"1672065","10/11/2015","22:21","Wolney Queiroz","PE","PDT","74439","Sim"
"1672065","10/11/2015","22:21","João Rodrigues","SC","PSD","160571","Não"
"1672065","10/11/2015","22:21","Rubens Pereira Júnior","MA","PCdoB","178887","Sim"
"1672065","10/11/2015","22:21","Ricardo Tripoli","SP","PSDB","141472","Não"
"1672065","10/11/2015","22:21","Dr. Jorge Silva","ES","PROS","160643","Sim"
"1672065","10/11/2015","22:21","Roney Nemer","DF","PMDB","178870","Sim"
"1672065","10/11/2015","22:21","Dulce Miranda","TO","PMDB","178994","Sim"
"1672065","10/11/2015","22:21","Décio Lima","SC","PT","141413","Sim"
"1672065","10/11/2015","22:21","Adelmo Carneiro Leão","MG","PT","178890","Sim"
"1672065","10/11/2015","22:21","Eduardo Bolsonaro","SP","PSC","92346","Não"
"1672065","10/11/2015","22:21","Luiz Carlos Hauly","PR","PSDB","73778","Não"
"1672065","10/11/2015","22:21","Luiz Couto","PB","PT","74041","Sim"
"1672065","10/11/2015","22:21","Afonso Florence","BA","PT","160508","Sim"
"1672065","10/11/2015","22:21","Hugo Leal","RJ","PROS","141450","Sim"
"1672065","10/11/2015","22:21","Arthur Lira","AL","PP","160541","Sim"
"1672065","10/11/2015","22:21","Aelton Freitas","MG","PR","141372","Sim"
"1672065","10/11/2015","22:21","Jarbas Vasconcelos","PE","PMDB","131943","Não"
"1672065","10/11/2015","22:21","Irmão Lazaro","BA","PSC","178855","Sim"
"1672065","10/11/2015","22:21","Elcione Barbalho","PA","PMDB","74075","Sim"
"1672065","10/11/2015","22:21","Alan Rick","AC","PRB","178836","Sim"
"1672065","10/11/2015","22:21","Odelmo Leão","MG","PP","74752","Não"
"1672065","10/11/2015","22:21","Marcos Soares","RJ","PR","178943","Não"
"1672065","10/11/2015","22:21","Alessandro Molon","RJ","REDE","160511","Não"
"1672065","10/11/2015","22:21","Felipe Maia","RN","DEM","141429","Não"
"1672065","10/11/2015","22:21","João Marcelo Souza","MA","PMDB","112437","Sim"
"1672065","10/11/2015","22:21","Vanderlei Macris","SP","PSDB","141553","Não"
"1672065","10/11/2015","22:21","Remídio Monai","RR","PR","178960","Não"
"1672065","10/11/2015","22:21","Aliel Machado","PR","REDE","178927","Não"
"1672065","10/11/2015","22:21","Francisco Chapadinha","PA","PSD","178907","Não"
"1672065","10/11/2015","22:21","Fausto Pinato","SP","PRB","66828","Sim"
"1672065","10/11/2015","22:21","Leonardo Picciani","RJ","PMDB","74254","Sim"
"1672065","10/11/2015","22:21","Sérgio Moraes","RS","PTB","141542","Não"
"1672065","10/11/2015","22:21","Jhonatan de Jesus","RR","PRB","160531","Não"
"1672065","10/11/2015","22:21","Daniel Almeida","BA","PCdoB","74060","Sim"
"1672065","10/11/2015","22:21","Esperidião Amin","SC","PP","160649","Não"
"1672065","10/11/2015","22:21","Enio Verri","PR","PT","132504","Sim"
"1672065","10/11/2015","22:21","Fábio Faria","RN","PSD","141428","Sim"
"1672065","10/11/2015","22:21","Delegado Waldir","GO","PSDB","164359","Não"
"1672065","10/11/2015","22:21","Helder Salomão","ES","PT","178873","Sim"
