"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"18216","23/4/2015","13:45","Luiza Erundina","SP","PSB","74784","Não"
"18216","23/4/2015","13:45","Erivelton Santana","BA","PSC","99654","Sim"
"18216","23/4/2015","13:45","Osmar Serraglio","PR","PMDB","73463","Sim"
"18216","23/4/2015","13:45","Bruno Araújo","PE","PSDB","141394","Sim"
"18216","23/4/2015","13:45","Cacá Leão","BA","PP","93083","Sim"
"18216","23/4/2015","13:45","Dimas Fabiano","MG","PP","160599","Sim"
"18216","23/4/2015","13:45","Chico D Angelo","RJ","PT","141439","Não"
"18216","23/4/2015","13:45","Hélio Leite","PA","DEM","178909","Não"
"18216","23/4/2015","13:45","Maria do Rosário","RS","PT","74398","Não"
"18216","23/4/2015","13:45","Odorico Monteiro","CE","PT","178868","Não"
"18216","23/4/2015","13:45","Fabiano Horta","RJ","PT","146829","Não"
"18216","23/4/2015","13:45","Jozi Rocha","AP","PTB","178851","Sim"
"18216","23/4/2015","13:45","Dr. Jorge Silva","ES","PROS","160643","Sim"
"18216","23/4/2015","13:45","Roney Nemer","DF","PMDB","178870","Sim"
"18216","23/4/2015","13:45","Dulce Miranda","TO","PMDB","178994","Sim"
"18216","23/4/2015","13:45","Décio Lima","SC","PT","141413","Não"
"18216","23/4/2015","13:45","Adelmo Carneiro Leão","MG","PT","178890","Não"
"18216","23/4/2015","13:45","Eduardo Bolsonaro","SP","PSC","92346","Sim"
"18216","23/4/2015","13:45","Luiz Carlos Hauly","PR","PSDB","73778","Sim"
"18216","23/4/2015","13:45","Luiz Couto","PB","PT","74041","Não"
"18216","23/4/2015","13:45","Afonso Florence","BA","PT","160508","Não"
"18216","23/4/2015","13:45","Arthur Lira","AL","PP","160541","Sim"
"18216","23/4/2015","13:45","Jarbas Vasconcelos","PE","PMDB","131943","Sim"
"18216","23/4/2015","13:45","Irmão Lazaro","BA","PSC","178855","Não"
"18216","23/4/2015","13:45","Alan Rick","AC","PRB","178836","Não"
"18216","23/4/2015","13:45","Odelmo Leão","MG","PP","74752","Sim"
"18216","23/4/2015","13:45","Alessandro Molon","RJ","PT","160511","Não"
