x1,x2,classe,ideDeputado,nome,partido
0.389516087471568,-0.315198367299234,Base,73891,DARCÍSIO PERONDI,PMDB
-0.0774661048891648,0.279631694418428,Oposicao,178944,ROBERTO SALES,PRB
-0.426172327951483,0.222018409471765,Base,74376,VANDER LOUBET,PT
-0.160007939048745,-0.167076707902454,Base,160620,WASHINGTON REIS,PMDB
0.045951690683772,-0.159637444128998,Oposicao,160639,PROFESSORA DORINHA SEABRA REZENDE,DEM
0.53924576389136,0.0902093859184511,Oposicao,160536,MARCO TEBALDI,PSDB
0.371689872819989,-0.362281238057148,Base,73808,SÉRGIO BRITO,PSD
0.177974745398951,0.137728181824867,Base,105112,CABUÇU BORGES,PMDB
0.0709493191450321,0.053981985514943,Base,178900,CARLOS MARUN,PMDB
0.30117836183741,0.182845527287036,Oposicao,178844,PEDRO VILELA,PSDB
0.152400390703991,0.203958772614719,Oposicao,74050,MAURÍCIO QUINTELLA LESSA,PR
0.231109497080828,0.0497389858225794,Oposicao,141408,CLEBER VERDE,PRB
-0.215276972981577,0.0886549209167967,Oposicao,4930,SILVIO COSTA,PTdoB
-0.0135272396688425,0.341960388839393,Oposicao,178885,JUNIOR MARRECA,PEN
0.338002330870407,-0.275998936125225,Oposicao,74428,MENDONÇA FILHO,DEM
-0.731324081574357,0.0434313066243396,Oposicao,160643,DR. JORGE SILVA,PHS
-0.0745688417112374,0.202190020108706,Oposicao,141553,VANDERLEI MACRIS,PSDB
0.163491807099393,0.124646369911777,Base,178839,JÉSSICA SALES,PMDB
0.177974745398951,0.137728181824867,Oposicao,74535,BENITO GAMA,PTB
-0.418067514495293,-0.507286894665437,Oposicao,160518,WELITON PRADO,PMB
0.0788859694139829,0.302557065007723,Oposicao,74445,JOÃO CASTELO,PSDB
-0.192737214947695,0.334072788608666,Oposicao,178999,BRUNNY,PR
0.32419869181489,0.190441118277113,Oposicao,4931,IZALCI,PSDB
0.067529326897064,0.0788773214150181,Oposicao,178929,DIEGO GARCIA,PHS
0.456036188006287,-0.273444309058961,Oposicao,74216,RAIMUNDO GOMES DE MATOS,PSDB
-0.838690646361578,0.0648834595050384,Base,74041,LUIZ COUTO,PT
0.188860594638184,0.304508290678903,Oposicao,73579,ALBERTO FRAGA,DEM
-0.00499348875979958,0.209065070390931,Oposicao,178842,JHC,PSB
-0.651020252053981,0.0983669413141692,Base,73931,ZÉ GERALDO,PT
-0.119534442237049,-0.499142971487595,Base,167493,WEVERTON ROCHA,PDT
0.33222586051011,0.277219908213768,Oposicao,178877,FÁBIO SOUSA,PSDB
0.0461421979725075,0.285284094466729,Oposicao,178939,CLARISSA GAROTINHO,PR
-0.0486825975715447,-0.0917137564570596,Oposicao,74291,ARNON BEZERRA,PTB
0.236413898653142,-0.380009852770485,Base,141490,MANOEL JUNIOR,PMDB
0.131569505054354,0.181004654749502,Oposicao,178893,DELEGADO EDSON MOREIRA,PR
0.178709111023523,0.170571742139052,Base,160573,JOÃO ARRUDA,PMDB
0.44896061048582,-0.233381138765529,Oposicao,141535,ROGÉRIO MARINHO,PSDB
0.217035816292616,0.159650369976519,Oposicao,178918,KAIO MANIÇOBA,PHS
0.102631639202042,0.287224824216491,Base,131943,JARBAS VASCONCELOS,PMDB
-0.720902451900068,0.0961350825376282,Base,160538,BOHN GASS,PT
0.354503506183578,-0.321081589117959,Base,74395,JOSÉ OTÁVIO GERMANO,PP
-0.573341195131475,0.0772155951175337,Base,74398,MARIA DO ROSÁRIO,PT
-0.0458352328371453,0.199025963279276,Base,141482,LEONARDO QUINTÃO,PMDB
0.5212910571865,0.367955162866466,Oposicao,73560,SILVIO TORRES,PSDB
0.120866147567345,-0.106736525656537,Base,178896,NEWTON CARDOSO JR,PMDB
-0.308368276403063,-0.814831159073395,Base,160666,FÉLIX MENDONÇA JÚNIOR,PDT
0.271379498749482,0.0392485119702779,Base,178848,CONCEIÇÃO SAMPAIO,PP
0.431518704032958,-0.218843719197879,Oposicao,178879,LUCAS VERGILIO,SD
0.0881021129557501,0.0163455168361152,Oposicao,141431,FERNANDO COELHO FILHO,PSB
0.230250195126711,0.280587030085095,Base,178833,ALEXANDRE SERFIOTIS,PSD
0.519421936561236,0.219106622839523,Base,141428,FÁBIO FARIA,PSD
0.0634571642771303,-0.151699435374546,Oposicao,178838,CÉSAR MESSIAS,PSB
0.465134650244027,-0.221204475347105,Oposicao,74847,JAIR BOLSONARO,PSC
-0.210981449141086,-0.0739888613741643,Oposicao,74558,GIVALDO CARIMBÃO,PHS
0.466807912337229,0.12054108244983,Base,160667,GUILHERME MUSSI,PP
-0.541608337940697,-0.150025199999454,Oposicao,160511,ALESSANDRO MOLON,REDE
0.170598079433968,0.109557677312137,Oposicao,178955,LUIZ CLÁUDIO,PR
0.51899442462493,0.366744579015096,Oposicao,178977,EDUARDO CURY,PSDB
0.0923257311678856,0.281820279242639,Oposicao,73441,CELSO RUSSOMANNO,PRB
-0.301260470140348,-0.0763743075691479,Base,160598,FLÁVIA MORAIS,PDT
-0.198434463961085,-0.0726612208501071,Base,74574,PAULO MAGALHÃES,PSD
-0.617642066346064,-0.136464152949242,Oposicao,166402,MAGDA MOFATTO,PR
-0.667313766177585,0.0709011642815318,Base,178853,CAETANO,PT
-0.488199427288456,0.45414740947843,Oposicao,178949,ZENAIDE MAIA,PR
-0.333114307307991,-0.618566262868557,Base,74378,ASSIS DO COUTO,PDT
0.245563962131127,-0.302249847976826,Base,160674,HUGO MOTTA,PMDB
-0.0020677635522649,-0.123066833731428,Oposicao,178871,EVAIR DE MELO,PV
-0.170083385613581,0.0209940794548853,Oposicao,74862,MIRO TEIXEIRA,REDE
-0.954793805171386,-0.483273839490859,Base,141488,PAULO TEIXEIRA,PT
-0.181736083024598,-0.135520338204703,Base,74010,VALDIR COLATTO,PMDB
0.358925725880272,0.231666828939773,Oposicao,178976,BRUNO COVAS,PSDB
0.0688769796342192,0.264067398312091,Oposicao,178940,DR. JOÃO,PR
-0.796907563589992,0.100744668062752,Base,178889,ZÉ CARLOS,PT
-0.373346393335103,-0.555055419495726,Base,73433,ARLINDO CHINAGLIA,PT
0.486714877142299,0.346560902487208,Oposicao,178984,MIGUEL HADDAD,PSDB
0.165464769389374,0.158121913810004,Base,144523,DANIEL VILELA,PMDB
-0.715773607465542,0.0474527246655806,Base,160575,ERIKA KOKAY,PT
0.169961071389863,0.19001596742258,Base,178908,DELEGADO ÉDER MAURO,PSD
-0.172017263006879,0.18859173617691,Base,178969,FÁBIO MITIDIERI,PSD
0.209254894652862,0.305382224673088,Oposicao,74419,GONZAGA PATRIOTA,PSB
-0.156967610501948,-0.4417979248148,Oposicao,141427,FÁBIO RAMALHO,PMB
0.302793117745382,-0.269284665962985,Oposicao,160572,JORGE CÔRTE REAL,PTB
0.321559964914684,-0.43395866425573,Base,160654,RENZO BRAZ,PP
-0.598503860773115,-0.239275033682374,Base,74275,JOSÉ MENTOR,PT
0.0207819839699931,-0.488142834767104,Oposicao,141485,LUIZ CARLOS BUSATO,PTB
-0.311171603513367,0.334172963143749,Oposicao,178965,JOÃO DERLY,REDE
0.413872795400508,-0.249490708882238,Oposicao,74650,BONIFÁCIO DE ANDRADA,PSDB
-0.708839975824079,0.103162102663082,Base,178887,RUBENS PEREIRA JÚNIOR,PCdoB
0.0424714507362766,-0.099222769435459,Oposicao,178862,TIA ERON,PRB
0.357358781289704,0.0729109069900213,Base,73772,HERMES PARCIANELLO,PMDB
0.261388021810916,-0.415068354555524,Base,74749,MAURO LOPES,PMDB
-0.0185482621256598,-0.149569575530771,Base,141562,LELO COIMBRA,PMDB
0.603305823966895,-0.361973165450306,Base,178858,MÁRIO NEGROMONTE JR.,PP
-0.138523196060352,-0.10775716721413,Oposicao,187008,SILAS FREIRE,PR
-0.374996153768518,-0.0781555006955335,Oposicao,129618,GORETE PEREIRA,PR
0.345857030303151,0.32782506526402,Oposicao,160660,MARCELO AGUIAR,DEM
0.0233414703514622,0.286114506206042,Oposicao,181316,ELIZEU DIONIZIO,PSDB
