"dimension","Birth","Death"
0,0,1.98195626997956
0,0,0.187278940932858
0,0,0.169308917454862
0,0,0.168501688273751
0,0,0.158836274948688
0,0,0.151518484638538
0,0,0.142939852520887
0,0,0.139696379676012
0,0,0.137163772285302
0,0,0.129262257862919
0,0,0.124508100146537
0,0,0.122084288222166
0,0,0.116510610101393
0,0,0.11647888822561
0,0,0.112727474767211
0,0,0.109940736806185
0,0,0.104048696478177
0,0,0.103925918495995
0,0,0.10264026225538
0,0,0.0940685346685437
0,0,0.0937388009679029
0,0,0.0929213115700762
0,0,0.0922169428078291
0,0,0.0914718293834247
0,0,0.0904777638161525
0,0,0.0902787671205669
0,0,0.0899423036746234
0,0,0.0893590527545639
0,0,0.0862798221031038
0,0,0.0789039402863463
0,0,0.0757717620543901
0,0,0.0748683054503227
0,0,0.074442225481976
0,0,0.0709742335754614
0,0,0.0705231570546021
0,0,0.0702602279982164
0,0,0.0700837072820132
0,0,0.0682768170522934
0,0,0.0673762114281298
0,0,0.0670409999864514
0,0,0.0662327264341845
0,0,0.0655144006769687
0,0,0.0652601260498231
0,0,0.064832355208021
0,0,0.0647489561114043
0,0,0.0636709531580399
0,0,0.063614348238654
0,0,0.0634726865291419
0,0,0.0627130476089061
0,0,0.0625942628913831
0,0,0.0617865883952054
0,0,0.0614650821669118
0,0,0.0613123237197067
0,0,0.0611416322014365
0,0,0.0606790280912491
0,0,0.0604535675038582
0,0,0.0601944556877227
0,0,0.0592659245715105
0,0,0.0592590928151512
0,0,0.0590073858631993
0,0,0.0582363744287128
0,0,0.0581777636187228
0,0,0.0578128574895073
0,0,0.0571095616715343
0,0,0.0570997309357592
0,0,0.056976518326028
0,0,0.0568379425034838
0,0,0.0567415874948823
0,0,0.0562666108067244
0,0,0.0558882963053487
0,0,0.0558215689450699
0,0,0.0548109571248417
0,0,0.0542732663675069
0,0,0.0539769733628143
0,0,0.0536039368143713
0,0,0.0526657648536747
0,0,0.0526341278106363
0,0,0.0526186511717079
0,0,0.052414993803828
0,0,0.0521776669671247
0,0,0.0519933310914557
0,0,0.051247154717657
0,0,0.050889469899647
0,0,0.0508742298951325
0,0,0.0508687814313042
0,0,0.0506480832510268
0,0,0.0502878516622043
0,0,0.0498554940409251
0,0,0.0498059989016603
0,0,0.0496491538541634
0,0,0.0494004490327569
0,0,0.0485755808555403
0,0,0.0485502248628781
0,0,0.0485175102201694
0,0,0.0484966395223747
0,0,0.0483317489617989
0,0,0.048287536829332
0,0,0.048151253195478
0,0,0.0477743890617323
0,0,0.0477626643107172
0,0,0.0477063988424693
0,0,0.0468228213850203
0,0,0.0467514659844167
0,0,0.0465054599002568
0,0,0.0463289230866357
0,0,0.0462450962019016
0,0,0.0460955426179032
0,0,0.0455335881304661
0,0,0.0453056450383859
0,0,0.045050377030276
0,0,0.0449832852132701
0,0,0.0449829023287494
0,0,0.0447888679479429
0,0,0.044639179540918
0,0,0.044485949635631
0,0,0.0442315755396072
0,0,0.0441842233556577
0,0,0.0440200161405559
0,0,0.0437412559026526
0,0,0.0437094274870236
0,0,0.0435975268404015
0,0,0.0435822882456283
0,0,0.0434423703595593
0,0,0.042429751023218
0,0,0.0424143821795397
0,0,0.0422360521377472
0,0,0.040625785701874
0,0,0.0405936016816423
0,0,0.0402983976633212
0,0,0.0402125257386964
0,0,0.0400964427075352
0,0,0.0398335366198585
0,0,0.039683260018829
0,0,0.0395506948870165
0,0,0.0392421030131863
0,0,0.039106370168591
0,0,0.0390948177714881
0,0,0.0389933860389952
0,0,0.03898315750105
0,0,0.0384890868760596
0,0,0.0384442308379648
0,0,0.0382609677733272
0,0,0.0381463311947878
0,0,0.0380770314113265
0,0,0.0376342635592945
0,0,0.0375993013791633
