"id","dim0","dim1","propostas","links"
11,462,43,"MPV 664/2014;MPV 668/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295851;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296845"
12,461,43,"PEC 182/2007;MPV 664/2014;MPV 668/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295851;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296845"
13,464,44,"PEC 182/2007;MPV 668/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296845"
14,468,36,"PEC 182/2007","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056"
15,468,51,"PEC 182/2007;MPV 670/2015;PL 863/2015;MPV 672/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1308230;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312261;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313843"
16,464,46,"PEC 182/2007;MPV 670/2015;PL 863/2015;MPV 672/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1308230;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312261;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313843"
17,457,28,"PEC 171/1993;MPV 671/2015;PL 863/2015;PLP 37/2015;MPV 672/2015;REQ 1681/2015 => PL 1358/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=13945;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312733;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312261;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312893;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313843;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1328931"
18,466,50,"PEC 171/1993;PEC 182/2007;PL 5735/2013;MPV 671/2015;PL 863/2015;PLP 37/2015;REQ 1681/2015 => PL 1358/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=13945;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1102056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312733;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312261;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312893;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1328931"
19,462,55,"PEC 182/2007;PEC 443/2009;PL 5735/2013;PL 2016/2015;PL 2020/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=723563;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1102056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1350712;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1350840"
20,467,38,"PEC 171/1993;PL 2479/2000;PEC 182/2007;PEC 443/2009;PL 10/2015;PLP 25/2015;REQ 1041/2015 => PL 6232/2013;REQ 1126/2015 => PL 3111/2012;PDC 57/2015;PL 2016/2015;PL 2020/2015;REC 49/2015 => PL 8170/2014;REQ 1041/2015 CPIPETRO","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=13945;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=16915;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=723563;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296689;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1307480;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1311068;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313087;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1327376;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1350712;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1350840;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1359752;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1376277"
