"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"1594437","3/11/2015","19:12","Ariosto Holanda","CE","PROS","74103","Sim"
"1594437","3/11/2015","19:12","Flavio Nogueira","PI","PDT","191923","Sim"
"1594437","3/11/2015","19:12","Zé Augusto Nalin","RJ","PMDB","191945","Sim"
"1594437","3/11/2015","19:12","Laura Carneiro","RJ","PMDB","74856","Não"
"1594437","3/11/2015","19:12","Luiza Erundina","SP","PSB","74784","Sim"
"1594437","3/11/2015","19:12","Roberto Alves","SP","PRB","152610","Não"
"1594437","3/11/2015","19:12","Lázaro Botelho","TO","PP","141480","Sim"
"1594437","3/11/2015","19:12","Sérgio Brito","BA","PSD","73808","Não"
"1594437","3/11/2015","19:12","Erivelton Santana","BA","PSC","99654","Não"
"1594437","3/11/2015","19:12","Bruno Araújo","PE","PSDB","141394","Não"
"1594437","3/11/2015","19:12","Dimas Fabiano","MG","PP","160599","Não"
"1594437","3/11/2015","19:12","Chico D Angelo","RJ","PT","141439","Sim"
"1594437","3/11/2015","19:12","Hélio Leite","PA","DEM","178909","Não"
"1594437","3/11/2015","19:12","Maria do Rosário","RS","PT","74398","Sim"
"1594437","3/11/2015","19:12","Odorico Monteiro","CE","PT","178868","Sim"
"1594437","3/11/2015","19:12","Carlos Gomes","RS","PRB","178962","Não"
"1594437","3/11/2015","19:12","Wolney Queiroz","PE","PDT","74439","Sim"
"1594437","3/11/2015","19:12","João Rodrigues","SC","PSD","160571","Não"
"1594437","3/11/2015","19:12","Rubens Pereira Júnior","MA","PCdoB","178887","Sim"
"1594437","3/11/2015","19:12","Ricardo Tripoli","SP","PSDB","141472","Não"
"1594437","3/11/2015","19:12","Roney Nemer","DF","PMDB","178870","Sim"
"1594437","3/11/2015","19:12","Dulce Miranda","TO","PMDB","178994","Sim"
"1594437","3/11/2015","19:12","Décio Lima","SC","PT","141413","Sim"
"1594437","3/11/2015","19:12","Adelmo Carneiro Leão","MG","PT","178890","Sim"
"1594437","3/11/2015","19:12","Eduardo Bolsonaro","SP","PSC","92346","Não"
"1594437","3/11/2015","19:12","Luiz Carlos Hauly","PR","PSDB","73778","Não"
"1594437","3/11/2015","19:12","Luiz Couto","PB","PT","74041","Sim"
"1594437","3/11/2015","19:12","Afonso Florence","BA","PT","160508","Sim"
"1594437","3/11/2015","19:12","Hugo Leal","RJ","PROS","141450","Sim"
"1594437","3/11/2015","19:12","Aelton Freitas","MG","PR","141372","Sim"
"1594437","3/11/2015","19:12","Jarbas Vasconcelos","PE","PMDB","131943","Não"
"1594437","3/11/2015","19:12","Irmão Lazaro","BA","PSC","178855","Sim"
"1594437","3/11/2015","19:12","Alan Rick","AC","PRB","178836","Não"
"1594437","3/11/2015","19:12","Odelmo Leão","MG","PP","74752","Não"
"1594437","3/11/2015","19:12","Alessandro Molon","RJ","REDE","160511","Sim"
"1594437","3/11/2015","19:12","Felipe Maia","RN","DEM","141429","Não"
"1594437","3/11/2015","19:12","João Marcelo Souza","MA","PMDB","112437","Sim"
"1594437","3/11/2015","19:12","Vanderlei Macris","SP","PSDB","141553","Não"
"1594437","3/11/2015","19:12","Remídio Monai","RR","PR","178960","Sim"
"1594437","3/11/2015","19:12","Roberto Góes","AP","PDT","178995","Sim"
"1594437","3/11/2015","19:12","Francisco Chapadinha","PA","PSD","178907","Não"
"1594437","3/11/2015","19:12","Fausto Pinato","SP","PRB","66828","Sim"
"1594437","3/11/2015","19:12","Leonardo Picciani","RJ","PMDB","74254","Sim"
"1594437","3/11/2015","19:12","Sérgio Moraes","RS","PTB","141542","Não"
"1594437","3/11/2015","19:12","Jhonatan de Jesus","RR","PRB","160531","Não"
"1594437","3/11/2015","19:12","Paulo Maluf","SP","PP","132056","Não"
"1594437","3/11/2015","19:12","Vicente Candido","SP","PT","160622","Sim"
"1594437","3/11/2015","19:12","Daniel Almeida","BA","PCdoB","74060","Sim"
"1594437","3/11/2015","19:12","Esperidião Amin","SC","PP","160649","Não"
"1594437","3/11/2015","19:12","Enio Verri","PR","PT","132504","Sim"
"1594437","3/11/2015","19:12","Fábio Faria","RN","PSD","141428","Não"
"1594437","3/11/2015","19:12","Delegado Waldir","GO","PSDB","164359","Não"
"1594437","3/11/2015","19:12","Helder Salomão","ES","PT","178873","Sim"
"1594437","3/11/2015","19:12","Nelson Marquezelli","SP","PTB","73553","Sim"
"1594437","3/11/2015","19:12","Valmir Prascidelli","SP","PT","113247","Sim"
"1594437","3/11/2015","19:12","Assis Carvalho","PI","PT","159237","Sim"
"1594437","3/11/2015","19:12","Miguel Haddad","SP","PSDB","178984","Não"
"1594437","3/11/2015","19:12","Jovair Arantes","GO","PTB","73666","Sim"
"1594437","3/11/2015","19:12","Delegado Edson Moreira","MG","PTN","178893","Não"
"1594437","3/11/2015","19:12","Soraya Santos","RJ","PMDB","178946","Não"
"1594437","3/11/2015","19:12","Gorete Pereira","CE","PR","129618","Sim"
"1594437","3/11/2015","19:12","Jandira Feghali","RJ","PCdoB","74848","Sim"
"1594437","3/11/2015","19:12","Paulo Pereira da Silva","SP","Solidaried","141518","Não"
"1594437","3/11/2015","19:12","Adelson Barreto","SE","PTB","178968","Não"
"1594437","3/11/2015","19:12","Newton Cardoso Jr","MG","PMDB","178896","Não"
"1594437","3/11/2015","19:12","Pauderney Avelino","AM","DEM","74095","Não"
"1594437","3/11/2015","19:12","Paulão","AL","PT","171617","Sim"
"1594437","3/11/2015","19:12","Raquel Muniz","MG","PSC","178998","Não"
"1594437","3/11/2015","19:12","Jose Stédile","RS","PSB","160607","Não"
"1594437","3/11/2015","19:12","Tiririca","SP","PR","160976","Sim"
"1594437","3/11/2015","19:12","Pr. Marco Feliciano","SP","PSC","160601","Não"
"1594437","3/11/2015","19:12","Weliton Prado","MG","PT","160518","Não"
"1594437","3/11/2015","19:12","Alexandre Leite","SP","DEM","160545","Não"
"1594437","3/11/2015","19:12","Goulart","SP","PSD","178980","Não"
"1594437","3/11/2015","19:12","Fernando Francischini","PR","Solidaried","160646","Não"
"1594437","3/11/2015","19:12","Darcísio Perondi","RS","PMDB","73891","Não"
"1594437","3/11/2015","19:12","Caetano","BA","PT","178853","Sim"
"1594437","3/11/2015","19:12","Arnaldo Faria de Sá","SP","PTB","73434","Não"
"1594437","3/11/2015","19:12","Ronaldo Fonseca","DF","PROS","160637","Não"
"1594437","3/11/2015","19:12","Shéridan","RR","PSDB","178961","Não"
"1594437","3/11/2015","19:12","Washington Reis","RJ","PMDB","160620","Sim"
"1594437","3/11/2015","19:12","Flavinho","SP","PSB","178978","Não"
"1594437","3/11/2015","19:12","Reginaldo Lopes","MG","PT","74161","Sim"
"1594437","3/11/2015","19:12","José Priante","PA","PMDB","74079","Sim"
"1594437","3/11/2015","19:12","Vicentinho","SP","PT","74283","Sim"
"1594437","3/11/2015","19:12","Delegado Éder Mauro","PA","PSD","178908","Não"
"1594437","3/11/2015","19:12","Leopoldo Meyer","PR","PSB","160663","Não"
"1594437","3/11/2015","19:12","José Airton Cirilo","CE","PT","141464","Sim"
"1594437","3/11/2015","19:12","Joaquim Passarinho","PA","PSD","178910","Não"
"1594437","3/11/2015","19:12","Professora Marcivania","AP","PT","160641","Sim"
"1594437","3/11/2015","19:12","Leo de Brito","AC","PT","178825","Sim"
"1594437","3/11/2015","19:12","Victor Mendes","MA","PV","178888","Não"
"1594437","3/11/2015","19:12","Manoel Junior","PB","PMDB","141490","Sim"
"1594437","3/11/2015","19:12","Edinho Araújo","SP","PMDB","73447","Não"
"1594437","3/11/2015","19:12","Geraldo Resende","MS","PMDB","74374","Sim"
"1594437","3/11/2015","19:12","Herculano Passos","SP","PSD","178981","Não"
"1594437","3/11/2015","19:12","Gilberto Nascimento","SP","PSC","74270","Não"
"1594437","3/11/2015","19:12","Zé Geraldo","PA","PT","73931","Sim"
"1594437","3/11/2015","19:12","Efraim Filho","PB","DEM","141422","Não"
"1594437","3/11/2015","19:12","Milton Monti","SP","PR","74787","Sim"
"1594437","3/11/2015","19:12","Luiz Sérgio","RJ","PT","74688","Sim"
"1594437","3/11/2015","19:12","Luiz Carlos Ramos","RJ","PSDC","178802","Sim"
"1594437","3/11/2015","19:12","Covatti Filho","RS","PP","178963","Não"
"1594437","3/11/2015","19:12","Marcos Reategui","AP","PSC","178852","Sim"
"1594437","3/11/2015","19:12","César Halum","TO","PRB","160576","Sim"
"1594437","3/11/2015","19:12","Izalci","DF","PSDB","4931","Não"
"1594437","3/11/2015","19:12","Henrique Fontana","RS","PT","73482","Sim"
"1594437","3/11/2015","19:12","Josi Nunes","TO","PMDB","114941","Sim"
"1594437","3/11/2015","19:12","Eduardo Cury","SP","PSDB","178977","Não"
"1594437","3/11/2015","19:12","Átila Lira","PI","PSB","74459","Não"
"1594437","3/11/2015","19:12","Christiane de Souza Yared","PR","PTN","178928","Sim"
"1594437","3/11/2015","19:12","Eduardo Cunha","RJ","PMDB","74173","Art. 17"
"1594437","3/11/2015","19:12","Vander Loubet","MS","PT","74376","Sim"
"1594437","3/11/2015","19:12","Evair de Melo","ES","PV","178871","Não"
"1594437","3/11/2015","19:12","Bacelar","BA","PTN","69871","Sim"
"1594437","3/11/2015","19:12","Marcos Montes","MG","PSD","141500","Não"
"1594437","3/11/2015","19:12","Pedro Cunha Lima","PB","PSDB","178912","Não"
"1594437","3/11/2015","19:12","Geovania de Sá","SC","PSDB","178966","Não"
"1594437","3/11/2015","19:12","Roberto Sales","RJ","PRB","178944","Não"
"1594437","3/11/2015","19:12","Angelim","AC","PT","178837","Sim"
"1594437","3/11/2015","19:12","Mauro Mariani","SC","PMDB","141507","Não"
"1594437","3/11/2015","19:12","Caio Narcio","MG","PSDB","178891","Não"
"1594437","3/11/2015","19:12","Betinho Gomes","PE","PSDB","178915","Não"
"1594437","3/11/2015","19:12","Rossoni","PR","PSDB","178935","Não"
"1594437","3/11/2015","19:12","Expedito Netto","RO","Solidaried","178953","Não"
"1594437","3/11/2015","19:12","Paulo Feijó","RJ","PR","74017","Sim"
"1594437","3/11/2015","19:12","Fábio Ramalho","MG","PV","141427","Sim"
"1594437","3/11/2015","19:12","Rogério Rosso","DF","PSD","160426","Não"
"1594437","3/11/2015","19:12","Otavio Leite","RJ","PSDB","141515","Não"
"1594437","3/11/2015","19:12","JHC","AL","PSB","178842","Não"
"1594437","3/11/2015","19:12","Miguel Lombardi","SP","PR","178985","Sim"
"1594437","3/11/2015","19:12","Osmar Terra","RS","PMDB","73692","Não"
"1594437","3/11/2015","19:12","Mário Negromonte Jr.","BA","PP","178858","Sim"
"1594437","3/11/2015","19:12","Giuseppe Vecci","GO","PSDB","178878","Não"
"1594437","3/11/2015","19:12","Ságuas Moraes","MT","PT","160630","Sim"
"1594437","3/11/2015","19:12","Carlos Zarattini","SP","PT","141398","Sim"
"1594437","3/11/2015","19:12","Marcus Vicente","ES","PP","74235","Sim"
"1594437","3/11/2015","19:12","Sóstenes Cavalcante","RJ","PSD","178947","Não"
"1594437","3/11/2015","19:12","Deley","RJ","PTB","74172","Não"
"1594437","3/11/2015","19:12","Ronaldo Carletto","BA","PP","178861","Não"
"1594437","3/11/2015","19:12","Lúcio Vale","PA","PR","141484","Sim"
"1594437","3/11/2015","19:12","Aguinaldo Ribeiro","PB","PP","160527","Sim"
"1594437","3/11/2015","19:12","Fábio Mitidieri","SE","PSD","178969","Não"
"1594437","3/11/2015","19:12","José Nunes","BA","PSD","160619","Sim"
"1594437","3/11/2015","19:12","Átila Lins","AM","PSD","74090","Sim"
"1594437","3/11/2015","19:12","Cabuçu Borges","AP","PMDB","105112","Sim"
"1594437","3/11/2015","19:12","Rubens Bueno","PR","PPS","73466","Não"
"1594437","3/11/2015","19:12","Júlio Delgado","MG","PSB","73586","Não"
"1594437","3/11/2015","19:12","Gonzaga Patriota","PE","PSB","74419","Não"
"1594437","3/11/2015","19:12","Zeca Dirceu","PR","PT","160592","Sim"
"1594437","3/11/2015","19:12","Saraiva Felipe","MG","PMDB","74762","Não"
"1594437","3/11/2015","19:12","Guilherme Mussi","SP","PP","160667","Sim"
"1594437","3/11/2015","19:12","José Carlos Aleluia","BA","DEM","74553","Não"
"1594437","3/11/2015","19:12","Ronaldo Lessa","AL","PDT","178845","Abstenção"
"1594437","3/11/2015","19:12","Altineu Côrtes","RJ","PR","178937","Sim"
"1594437","3/11/2015","19:12","Sandes Júnior","GO","PP","74372","Sim"
"1594437","3/11/2015","19:12","Silas Freire","PI","PR","187008","Não"
"1594437","3/11/2015","19:12","Roberto Freire","SP","PPS","73805","Não"
"1594437","3/11/2015","19:12","Mainha","PI","Solidaried","151965","Sim"
"1594437","3/11/2015","19:12","Fabricio Oliveira","SC","PSB","190149","Não"
"1594437","3/11/2015","19:12","Vicente Arruda","CE","PROS","74308","Sim"
"1594437","3/11/2015","19:12","Carlos Eduardo Cadoca","PE","PCdoB","74474","Sim"
"1594437","3/11/2015","19:12","José Fogaça","RS","PMDB","131966","Não"
"1594437","3/11/2015","19:12","Antonio Carlos Mendes Thame","SP","PSDB","73584","Não"
"1594437","3/11/2015","19:12","Davidson Magalhães","BA","PCdoB","101309","Sim"
"1594437","3/11/2015","19:12","Augusto Coutinho","PE","Solidaried","160665","Não"
"1594437","3/11/2015","19:12","Ademir Camilo","MG","PROS","133374","Sim"
"1594437","3/11/2015","19:12","Alberto Filho","MA","PMDB","160582","Sim"
"1594437","3/11/2015","19:12","Walney Rocha","RJ","PTB","160631","Sim"
"1594437","3/11/2015","19:12","Marquinho Mendes","RJ","PMDB","181315","Não"
"1594437","3/11/2015","19:12","Mauro Pereira","RS","PMDB","124411","Sim"
"1594437","3/11/2015","19:12","Célio Silveira","GO","PSDB","178876","Não"
"1594437","3/11/2015","19:12","João Paulo Papa","SP","PSDB","178988","Não"
"1594437","3/11/2015","19:12","Antônio Jácome","RN","PMN","178950","Não"
"1594437","3/11/2015","19:12","Eduardo Barbosa","MG","PSDB","74655","Não"
"1594437","3/11/2015","19:12","Simão Sessim","RJ","PP","73424","Sim"
"1594437","3/11/2015","19:12","Alex Manente","SP","PPS","178972","Não"
"1594437","3/11/2015","19:12","Paulo Magalhães","BA","PSD","74574","Sim"
"1594437","3/11/2015","19:12","Ricardo Teobaldo","PE","PTB","178920","Sim"
"1594437","3/11/2015","19:12","Carlos Marun","MS","PMDB","178900","Não"
"1594437","3/11/2015","19:12","Marcelo Aro","MG","PHS","146788","Não"
"1594437","3/11/2015","19:12","José Guimarães","CE","PT","141470","Sim"
"1594437","3/11/2015","19:12","Luiz Carlos Busato","RS","PTB","141485","Sim"
"1594437","3/11/2015","19:12","Domingos Sávio","MG","PSDB","160758","Não"
"1594437","3/11/2015","19:12","Felipe Bornier","RJ","PSD","141430","Não"
"1594437","3/11/2015","19:12","Adail Carneiro","CE","PHS","178864","Sim"
"1594437","3/11/2015","19:12","Roberto Balestra","GO","PP","73674","Não"
"1594437","3/11/2015","19:12","Sérgio Reis","SP","PRB","178991","Não"
"1594437","3/11/2015","19:12","Edmilson Rodrigues","PA","PSOL","134812","Sim"
"1594437","3/11/2015","19:12","Baleia Rossi","SP","PMDB","178975","Não"
"1594437","3/11/2015","19:12","Roberto Britto","BA","PP","141529","Sim"
"1594437","3/11/2015","19:12","Antonio Brito","BA","PTB","160553","Sim"
"1594437","3/11/2015","19:12","Luiz Fernando Faria","MG","PP","141487","Sim"
"1594437","3/11/2015","19:12","Gabriel Guimarães","MG","PT","129037","Sim"
"1594437","3/11/2015","19:12","João Arruda","PR","PMDB","160573","Não"
"1594437","3/11/2015","19:12","Bebeto","BA","PSB","178834","Não"
"1594437","3/11/2015","19:12","Mauro Lopes","MG","PMDB","74749","Não"
"1594437","3/11/2015","19:12","Paulo Abi-Ackel","MG","PSDB","141516","Não"
"1594437","3/11/2015","19:12","Maurício Quintella Lessa","AL","PR","74050","Sim"
"1594437","3/11/2015","19:12","Afonso Motta","RS","PDT","178835","Sim"
"1594437","3/11/2015","19:12","Ezequiel Teixeira","RJ","Solidaried","178941","Não"
"1594437","3/11/2015","19:12","Carlos Henrique Gaguim","TO","PMDB","178993","Não"
"1594437","3/11/2015","19:12","Dr. Sinval Malheiros","SP","PV","178830","Não"
"1594437","3/11/2015","19:12","Mariana Carvalho","RO","PSDB","178956","Não"
"1594437","3/11/2015","19:12","Antonio Bulhões","SP","PRB","141383","Não"
"1594437","3/11/2015","19:12","Zeca Cavalcanti","PE","PTB","178923","Sim"
"1594437","3/11/2015","19:12","Pompeo de Mattos","RS","PDT","73486","Sim"
"1594437","3/11/2015","19:12","Conceição Sampaio","AM","PP","178848","Não"
"1594437","3/11/2015","19:12","Carmen Zanotto","SC","PPS","164360","Não"
"1594437","3/11/2015","19:12","Vinicius Carvalho","SP","PRB","141555","Não"
"1594437","3/11/2015","19:12","Josué Bengtson","PA","PTB","74351","Sim"
"1594437","3/11/2015","19:12","Pedro Fernandes","MA","PTB","74449","Sim"
"1594437","3/11/2015","19:12","Paulo Teixeira","SP","PT","141488","Sim"
"1594437","3/11/2015","19:12","Rodrigo Martins","PI","PSB","178926","Não"
"1594437","3/11/2015","19:12","Beto Salame","PA","PROS","178906","Sim"
"1594437","3/11/2015","19:12","Heuler Cruvinel","GO","PSD","160596","Não"
"1594437","3/11/2015","19:12","Carlos Manato","ES","Solidaried","74163","Não"
"1594437","3/11/2015","19:12","Vitor Valim","CE","PMDB","178869","Sim"
"1594437","3/11/2015","19:12","Silvio Costa","PE","PSC","4930","Sim"
"1594437","3/11/2015","19:12","Mandetta","MS","DEM","160633","Não"
"1594437","3/11/2015","19:12","Zé Carlos","MA","PT","178889","Não"
"1594437","3/11/2015","19:12","Hiran Gonçalves","RR","PMN","178959","Não"
"1594437","3/11/2015","19:12","Evandro Gussi","SP","PV","178828","Não"
"1594437","3/11/2015","19:12","André Abdon","AP","PRB","178831","Não"
"1594437","3/11/2015","19:12","Dilceu Sperafico","PR","PP","73768","Não"
"1594437","3/11/2015","19:12","Domingos Neto","CE","PROS","143632","Sim"
"1594437","3/11/2015","19:12","Chico Alencar","RJ","PSOL","74171","Sim"
"1594437","3/11/2015","19:12","Bohn Gass","RS","PT","160538","Sim"
"1594437","3/11/2015","19:12","Hildo Rocha","MA","PMDB","178884","Não"
"1594437","3/11/2015","19:12","Marinha Raupp","RO","PMDB","74177","Não"
"1594437","3/11/2015","19:12","Benedita da Silva","RJ","PT","73701","Sim"
"1594437","3/11/2015","19:12","Rosangela Gomes","RJ","PRB","178945","Não"
"1594437","3/11/2015","19:12","Moema Gramacho","BA","PT","178859","Sim"
"1594437","3/11/2015","19:12","Bruna Furlan","SP","PSDB","160589","Não"
"1594437","3/11/2015","19:12","Elmar Nascimento","BA","DEM","178854","Não"
"1594437","3/11/2015","19:12","Moses Rodrigues","CE","PPS","178997","Não"
