"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"537900","31/3/2015","16:57","Luiza Erundina","SP","PSB","74784","Não"
"537900","31/3/2015","16:57","Roberto Alves","SP","PRB","152610","Não"
"537900","31/3/2015","16:57","Lázaro Botelho","TO","PP","141480","Não"
"537900","31/3/2015","16:57","Sérgio Brito","BA","PSD","73808","Não"
"537900","31/3/2015","16:57","Erivelton Santana","BA","PSC","99654","Não"
"537900","31/3/2015","16:57","Osmar Serraglio","PR","PMDB","73463","Não"
"537900","31/3/2015","16:57","Cacá Leão","BA","PP","93083","Não"
"537900","31/3/2015","16:57","Dimas Fabiano","MG","PP","160599","Não"
"537900","31/3/2015","16:57","Chico D Angelo","RJ","PT","141439","Sim"
"537900","31/3/2015","16:57","Hélio Leite","PA","DEM","178909","Não"
"537900","31/3/2015","16:57","Carlos Gomes","RS","PRB","178962","Não"
"537900","31/3/2015","16:57","Wolney Queiroz","PE","PDT","74439","Não"
"537900","31/3/2015","16:57","João Rodrigues","SC","PSD","160571","Não"
"537900","31/3/2015","16:57","Fabiano Horta","RJ","PT","146829","Sim"
"537900","31/3/2015","16:57","Ricardo Tripoli","SP","PSDB","141472","Não"
"537900","31/3/2015","16:57","Jozi Rocha","AP","PTB","178851","Sim"
"537900","31/3/2015","16:57","Dr. Jorge Silva","ES","PROS","160643","Sim"
"537900","31/3/2015","16:57","Roney Nemer","DF","PMDB","178870","Não"
"537900","31/3/2015","16:57","Dulce Miranda","TO","PMDB","178994","Não"
"537900","31/3/2015","16:57","Décio Lima","SC","PT","141413","Sim"
"537900","31/3/2015","16:57","Adelmo Carneiro Leão","MG","PT","178890","Sim"
"537900","31/3/2015","16:57","Eduardo Bolsonaro","SP","PSC","92346","Não"
"537900","31/3/2015","16:57","Luiz Carlos Hauly","PR","PSDB","73778","Não"
"537900","31/3/2015","16:57","Luiz Couto","PB","PT","74041","Sim"
"537900","31/3/2015","16:57","Afonso Florence","BA","PT","160508","Sim"
"537900","31/3/2015","16:57","Hugo Leal","RJ","PROS","141450","Sim"
"537900","31/3/2015","16:57","Arthur Lira","AL","PP","160541","Não"
"537900","31/3/2015","16:57","Irmão Lazaro","BA","PSC","178855","Não"
"537900","31/3/2015","16:57","Elcione Barbalho","PA","PMDB","74075","Não"
"537900","31/3/2015","16:57","Alan Rick","AC","PRB","178836","Não"
"537900","31/3/2015","16:57","Odelmo Leão","MG","PP","74752","Não"
"537900","31/3/2015","16:57","Marcos Soares","RJ","PR","178943","Não"
"537900","31/3/2015","16:57","Alessandro Molon","RJ","PT","160511","Sim"
"537900","31/3/2015","16:57","Felipe Maia","RN","DEM","141429","Não"
"537900","31/3/2015","16:57","João Marcelo Souza","MA","PMDB","112437","Não"
"537900","31/3/2015","16:57","Vanderlei Macris","SP","PSDB","141553","Não"
"537900","31/3/2015","16:57","Remídio Monai","RR","PR","178960","Não"
"537900","31/3/2015","16:57","Roberto Góes","AP","PDT","178995","Não"
"537900","31/3/2015","16:57","Francisco Chapadinha","PA","PSD","178907","Não"
"537900","31/3/2015","16:57","Fausto Pinato","SP","PRB","66828","Não"
"537900","31/3/2015","16:57","Leonardo Picciani","RJ","PMDB","74254","Não"
"537900","31/3/2015","16:57","Jhonatan de Jesus","RR","PRB","160531","Não"
"537900","31/3/2015","16:57","Daniel Almeida","BA","PCdoB","74060","Sim"
"537900","31/3/2015","16:57","Enio Verri","PR","PT","132504","Sim"
"537900","31/3/2015","16:57","Delegado Waldir","GO","PSDB","164359","Não"
"537900","31/3/2015","16:57","Helder Salomão","ES","PT","178873","Sim"
"537900","31/3/2015","16:57","Nelson Marquezelli","SP","PTB","73553","Não"
"537900","31/3/2015","16:57","José Reinaldo","MA","PSB","73714","Não"
"537900","31/3/2015","16:57","Ricardo Barros","PR","PP","73788","Não"
"537900","31/3/2015","16:57","Assis Carvalho","PI","PT","159237","Sim"
"537900","31/3/2015","16:57","Miguel Haddad","SP","PSDB","178984","Não"
"537900","31/3/2015","16:57","Laercio Oliveira","SE","Solidaried","151208","Não"
"537900","31/3/2015","16:57","Delegado Edson Moreira","MG","PTN","178893","Não"
"537900","31/3/2015","16:57","Soraya Santos","RJ","PMDB","178946","Não"
"537900","31/3/2015","16:57","Gorete Pereira","CE","PR","129618","Não"
"537900","31/3/2015","16:57","Paulo Pereira da Silva","SP","Solidaried","141518","Não"
"537900","31/3/2015","16:57","Adelson Barreto","SE","PTB","178968","Não"
"537900","31/3/2015","16:57","Newton Cardoso Jr","MG","PMDB","178896","Não"
"537900","31/3/2015","16:57","Alexandre Baldy","GO","PSDB","178875","Não"
"537900","31/3/2015","16:57","Pauderney Avelino","AM","DEM","74095","Não"
"537900","31/3/2015","16:57","Paulão","AL","PT","171617","Sim"
"537900","31/3/2015","16:57","Raquel Muniz","MG","PSC","178998","Não"
"537900","31/3/2015","16:57","Jose Stédile","RS","PSB","160607","Não"
"537900","31/3/2015","16:57","Tiririca","SP","PR","160976","Não"
"537900","31/3/2015","16:57","Weliton Prado","MG","PT","160518","Não"
"537900","31/3/2015","16:57","Alexandre Leite","SP","DEM","160545","Não"
"537900","31/3/2015","16:57","Goulart","SP","PSD","178980","Não"
"537900","31/3/2015","16:57","Caetano","BA","PT","178853","Sim"
"537900","31/3/2015","16:57","Arnaldo Faria de Sá","SP","PTB","73434","Não"
"537900","31/3/2015","16:57","Ronaldo Fonseca","DF","PROS","160637","Sim"
"537900","31/3/2015","16:57","Shéridan","RR","PSDB","178961","Não"
"537900","31/3/2015","16:57","Washington Reis","RJ","PMDB","160620","Não"
"537900","31/3/2015","16:57","Flavinho","SP","PSB","178978","Não"
"537900","31/3/2015","16:57","Reginaldo Lopes","MG","PT","74161","Sim"
"537900","31/3/2015","16:57","José Priante","PA","PMDB","74079","Não"
"537900","31/3/2015","16:57","Vicentinho","SP","PT","74283","Sim"
"537900","31/3/2015","16:57","Delegado Éder Mauro","PA","PSD","178908","Não"
"537900","31/3/2015","16:57","Leopoldo Meyer","PR","PSB","160663","Não"
"537900","31/3/2015","16:57","Jorge Boeira","SC","PP","74388","Não"
"537900","31/3/2015","16:57","Joaquim Passarinho","PA","PSD","178910","Não"
"537900","31/3/2015","16:57","Professora Marcivania","AP","PT","160641","Sim"
"537900","31/3/2015","16:57","Zé Silva","MG","Solidaried","160632","Não"
"537900","31/3/2015","16:57","Victor Mendes","MA","PV","178888","Não"
"537900","31/3/2015","16:57","Sarney Filho","MA","PV","74210","Sim"
"537900","31/3/2015","16:57","Gilberto Nascimento","SP","PSC","74270","Não"
"537900","31/3/2015","16:57","Zé Geraldo","PA","PT","73931","Sim"
"537900","31/3/2015","16:57","Efraim Filho","PB","DEM","141422","Não"
"537900","31/3/2015","16:57","Milton Monti","SP","PR","74787","Não"
"537900","31/3/2015","16:57","Luiz Carlos Ramos","RJ","PSDC","178802","Não"
"537900","31/3/2015","16:57","Covatti Filho","RS","PP","178963","Não"
"537900","31/3/2015","16:57","César Halum","TO","PRB","160576","Não"
"537900","31/3/2015","16:57","Henrique Fontana","RS","PT","73482","Sim"
"537900","31/3/2015","16:57","Josi Nunes","TO","PMDB","114941","Não"
"537900","31/3/2015","16:57","Eduardo Cury","SP","PSDB","178977","Não"
"537900","31/3/2015","16:57","Átila Lira","PI","PSB","74459","Não"
"537900","31/3/2015","16:57","Christiane de Souza Yared","PR","PTN","178928","Não"
"537900","31/3/2015","16:57","Luciana Santos","PE","PCdoB","160628","Sim"
"537900","31/3/2015","16:57","Eduardo Cunha","RJ","PMDB","74173","Art. 17"
"537900","31/3/2015","16:57","Evair de Melo","ES","PV","178871","Não"
"537900","31/3/2015","16:57","Bacelar","BA","PTN","69871","Sim"
"537900","31/3/2015","16:57","Pedro Cunha Lima","PB","PSDB","178912","Não"
"537900","31/3/2015","16:57","Angelim","AC","PT","178837","Sim"
"537900","31/3/2015","16:57","Mauro Mariani","SC","PMDB","141507","Não"
"537900","31/3/2015","16:57","Caio Narcio","MG","PSDB","178891","Não"
"537900","31/3/2015","16:57","Betinho Gomes","PE","PSDB","178915","Não"
"537900","31/3/2015","16:57","Rossoni","PR","PSDB","178935","Não"
"537900","31/3/2015","16:57","Waldenor Pereira","BA","PT","160569","Sim"
"537900","31/3/2015","16:57","Expedito Netto","RO","Solidaried","178953","Não"
"537900","31/3/2015","16:57","Paulo Feijó","RJ","PR","74017","Não"
