"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"1050643","25/6/2015","16:22","Luiza Erundina","SP","PSB","74784","Não"
"1050643","25/6/2015","16:22","Roberto Alves","SP","PRB","152610","Não"
"1050643","25/6/2015","16:22","Lázaro Botelho","TO","PP","141480","Não"
"1050643","25/6/2015","16:22","Erivelton Santana","BA","PSC","99654","Sim"
"1050643","25/6/2015","16:22","Osmar Serraglio","PR","PMDB","73463","Sim"
"1050643","25/6/2015","16:22","Bruno Araújo","PE","PSDB","141394","Sim"
"1050643","25/6/2015","16:22","Cacá Leão","BA","PP","93083","Não"
"1050643","25/6/2015","16:22","Dimas Fabiano","MG","PP","160599","Não"
"1050643","25/6/2015","16:22","Chico D Angelo","RJ","PT","141439","Não"
"1050643","25/6/2015","16:22","Hélio Leite","PA","DEM","178909","Sim"
"1050643","25/6/2015","16:22","Odorico Monteiro","CE","PT","178868","Não"
"1050643","25/6/2015","16:22","Carlos Gomes","RS","PRB","178962","Não"
"1050643","25/6/2015","16:22","João Rodrigues","SC","PSD","160571","Sim"
"1050643","25/6/2015","16:22","Rubens Pereira Júnior","MA","PCdoB","178887","Não"
"1050643","25/6/2015","16:22","Ricardo Tripoli","SP","PSDB","141472","Sim"
"1050643","25/6/2015","16:22","Jozi Rocha","AP","PTB","178851","Não"
"1050643","25/6/2015","16:22","Dr. Jorge Silva","ES","PROS","160643","Não"
"1050643","25/6/2015","16:22","Roney Nemer","DF","PMDB","178870","Sim"
"1050643","25/6/2015","16:22","Dulce Miranda","TO","PMDB","178994","Não"
"1050643","25/6/2015","16:22","Décio Lima","SC","PT","141413","Não"
"1050643","25/6/2015","16:22","Adelmo Carneiro Leão","MG","PT","178890","Não"
"1050643","25/6/2015","16:22","Eduardo Bolsonaro","SP","PSC","92346","Sim"
"1050643","25/6/2015","16:22","Luiz Carlos Hauly","PR","PSDB","73778","Sim"
"1050643","25/6/2015","16:22","Luiz Couto","PB","PT","74041","Não"
"1050643","25/6/2015","16:22","Afonso Florence","BA","PT","160508","Não"
"1050643","25/6/2015","16:22","Hugo Leal","RJ","PROS","141450","Não"
"1050643","25/6/2015","16:22","Arthur Lira","AL","PP","160541","Não"
"1050643","25/6/2015","16:22","Aelton Freitas","MG","PR","141372","Não"
"1050643","25/6/2015","16:22","Jarbas Vasconcelos","PE","PMDB","131943","Sim"
"1050643","25/6/2015","16:22","Alan Rick","AC","PRB","178836","Não"
"1050643","25/6/2015","16:22","Odelmo Leão","MG","PP","74752","Sim"
"1050643","25/6/2015","16:22","Alessandro Molon","RJ","PT","160511","Não"
"1050643","25/6/2015","16:22","Felipe Maia","RN","DEM","141429","Sim"
"1050643","25/6/2015","16:22","João Marcelo Souza","MA","PMDB","112437","Não"
"1050643","25/6/2015","16:22","Vanderlei Macris","SP","PSDB","141553","Sim"
"1050643","25/6/2015","16:22","Remídio Monai","RR","PR","178960","Não"
"1050643","25/6/2015","16:22","Francisco Chapadinha","PA","PSD","178907","Não"
"1050643","25/6/2015","16:22","Fausto Pinato","SP","PRB","66828","Não"
"1050643","25/6/2015","16:22","Leonardo Picciani","RJ","PMDB","74254","Não"
"1050643","25/6/2015","16:22","Jhonatan de Jesus","RR","PRB","160531","Não"
"1050643","25/6/2015","16:22","Hugo Motta","PB","PMDB","160674","Não"
"1050643","25/6/2015","16:22","Vicente Candido","SP","PT","160622","Não"
"1050643","25/6/2015","16:22","Daniel Almeida","BA","PCdoB","74060","Não"
"1050643","25/6/2015","16:22","Esperidião Amin","SC","PP","160649","Sim"
"1050643","25/6/2015","16:22","Enio Verri","PR","PT","132504","Não"
"1050643","25/6/2015","16:22","Helder Salomão","ES","PT","178873","Não"
"1050643","25/6/2015","16:22","Nelson Marquezelli","SP","PTB","73553","Não"
"1050643","25/6/2015","16:22","José Reinaldo","MA","PSB","73714","Sim"
"1050643","25/6/2015","16:22","Janete Capiberibe","AP","PSB","73926","Sim"
"1050643","25/6/2015","16:22","Miguel Haddad","SP","PSDB","178984","Sim"
"1050643","25/6/2015","16:22","Jovair Arantes","GO","PTB","73666","Não"
"1050643","25/6/2015","16:22","Delegado Edson Moreira","MG","PTN","178893","Não"
"1050643","25/6/2015","16:22","Jandira Feghali","RJ","PCdoB","74848","Não"
"1050643","25/6/2015","16:22","Adelson Barreto","SE","PTB","178968","Não"
"1050643","25/6/2015","16:22","Alexandre Baldy","GO","PSDB","178875","Sim"
"1050643","25/6/2015","16:22","Paulão","AL","PT","171617","Não"
"1050643","25/6/2015","16:22","Raquel Muniz","MG","PSC","178998","Não"
"1050643","25/6/2015","16:22","Jose Stédile","RS","PSB","160607","Sim"
"1050643","25/6/2015","16:22","Tiririca","SP","PR","160976","Não"
"1050643","25/6/2015","16:22","Pr. Marco Feliciano","SP","PSC","160601","Sim"
"1050643","25/6/2015","16:22","Weliton Prado","MG","PT","160518","Não"
"1050643","25/6/2015","16:22","Alexandre Leite","SP","DEM","160545","Sim"
"1050643","25/6/2015","16:22","Goulart","SP","PSD","178980","Não"
"1050643","25/6/2015","16:22","Fernando Francischini","PR","Solidaried","160646","Sim"
"1050643","25/6/2015","16:22","Darcísio Perondi","RS","PMDB","73891","Sim"
"1050643","25/6/2015","16:22","Caetano","BA","PT","178853","Não"
"1050643","25/6/2015","16:22","Arnaldo Faria de Sá","SP","PTB","73434","Sim"
"1050643","25/6/2015","16:22","Shéridan","RR","PSDB","178961","Sim"
"1050643","25/6/2015","16:22","Washington Reis","RJ","PMDB","160620","Não"
"1050643","25/6/2015","16:22","Flavinho","SP","PSB","178978","Sim"
