"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"860923","12/5/2015","21:48","Lázaro Botelho","TO","PP","141480","Não"
"860923","12/5/2015","21:48","Sérgio Brito","BA","PSD","73808","Sim"
"860923","12/5/2015","21:48","Erivelton Santana","BA","PSC","99654","Sim"
"860923","12/5/2015","21:48","Cacá Leão","BA","PP","93083","Sim"
"860923","12/5/2015","21:48","Dimas Fabiano","MG","PP","160599","Não"
"860923","12/5/2015","21:48","Chico D Angelo","RJ","PT","141439","Não"
"860923","12/5/2015","21:48","Hélio Leite","PA","DEM","178909","Sim"
"860923","12/5/2015","21:48","Maria do Rosário","RS","PT","74398","Não"
"860923","12/5/2015","21:48","Odorico Monteiro","CE","PT","178868","Sim"
"860923","12/5/2015","21:48","Carlos Gomes","RS","PRB","178962","Não"
"860923","12/5/2015","21:48","Wolney Queiroz","PE","PDT","74439","Sim"
"860923","12/5/2015","21:48","João Rodrigues","SC","PSD","160571","Sim"
"860923","12/5/2015","21:48","Fabiano Horta","RJ","PT","146829","Não"
"860923","12/5/2015","21:48","Rubens Pereira Júnior","MA","PCdoB","178887","Sim"
"860923","12/5/2015","21:48","Ricardo Tripoli","SP","PSDB","141472","Sim"
"860923","12/5/2015","21:48","Jozi Rocha","AP","PTB","178851","Não"
"860923","12/5/2015","21:48","Dr. Jorge Silva","ES","PROS","160643","Não"
"860923","12/5/2015","21:48","Roney Nemer","DF","PMDB","178870","Sim"
"860923","12/5/2015","21:48","Dulce Miranda","TO","PMDB","178994","Não"
"860923","12/5/2015","21:48","Adelmo Carneiro Leão","MG","PT","178890","Não"
"860923","12/5/2015","21:48","Eduardo Bolsonaro","SP","PSC","92346","Sim"
"860923","12/5/2015","21:48","Luiz Carlos Hauly","PR","PSDB","73778","Sim"
"860923","12/5/2015","21:48","Luiz Couto","PB","PT","74041","Não"
"860923","12/5/2015","21:48","Afonso Florence","BA","PT","160508","Não"
"860923","12/5/2015","21:48","Hugo Leal","RJ","PROS","141450","Não"
"860923","12/5/2015","21:48","Arthur Lira","AL","PP","160541","Sim"
"860923","12/5/2015","21:48","Aelton Freitas","MG","PR","141372","Não"
"860923","12/5/2015","21:48","Jarbas Vasconcelos","PE","PMDB","131943","Sim"
"860923","12/5/2015","21:48","Irmão Lazaro","BA","PSC","178855","Sim"
"860923","12/5/2015","21:48","Elcione Barbalho","PA","PMDB","74075","Não"
"860923","12/5/2015","21:48","Alan Rick","AC","PRB","178836","Sim"
"860923","12/5/2015","21:48","Odelmo Leão","MG","PP","74752","Sim"
"860923","12/5/2015","21:48","Marcos Soares","RJ","PR","178943","Sim"
