"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"373327","15/7/2015","16:50","Luiza Erundina","SP","PSB","74784","Sim"
"373327","15/7/2015","16:50","Roberto Alves","SP","PRB","152610","Não"
"373327","15/7/2015","16:50","Lázaro Botelho","TO","PP","141480","Não"
"373327","15/7/2015","16:50","Sérgio Brito","BA","PSD","73808","Sim"
"373327","15/7/2015","16:50","Erivelton Santana","BA","PSC","99654","Não"
"373327","15/7/2015","16:50","Osmar Serraglio","PR","PMDB","73463","Não"
"373327","15/7/2015","16:50","Bruno Araújo","PE","PSDB","141394","Não"
"373327","15/7/2015","16:50","Cacá Leão","BA","PP","93083","Não"
"373327","15/7/2015","16:50","Dimas Fabiano","MG","PP","160599","Não"
"373327","15/7/2015","16:50","Chico D Angelo","RJ","PT","141439","Sim"
"373327","15/7/2015","16:50","Hélio Leite","PA","DEM","178909","Não"
"373327","15/7/2015","16:50","Maria do Rosário","RS","PT","74398","Sim"
"373327","15/7/2015","16:50","Odorico Monteiro","CE","PT","178868","Sim"
"373327","15/7/2015","16:50","Carlos Gomes","RS","PRB","178962","Não"
"373327","15/7/2015","16:50","Wolney Queiroz","PE","PDT","74439","Não"
"373327","15/7/2015","16:50","João Rodrigues","SC","PSD","160571","Não"
"373327","15/7/2015","16:50","Ricardo Tripoli","SP","PSDB","141472","Não"
"373327","15/7/2015","16:50","Jozi Rocha","AP","PTB","178851","Não"
"373327","15/7/2015","16:50","Dr. Jorge Silva","ES","PROS","160643","Não"
"373327","15/7/2015","16:50","Roney Nemer","DF","PMDB","178870","Sim"
"373327","15/7/2015","16:50","Adelmo Carneiro Leão","MG","PT","178890","Sim"
"373327","15/7/2015","16:50","Eduardo Bolsonaro","SP","PSC","92346","Não"
"373327","15/7/2015","16:50","Luiz Carlos Hauly","PR","PSDB","73778","Não"
"373327","15/7/2015","16:50","Luiz Couto","PB","PT","74041","Sim"
"373327","15/7/2015","16:50","Afonso Florence","BA","PT","160508","Sim"
"373327","15/7/2015","16:50","Jarbas Vasconcelos","PE","PMDB","131943","Não"
