"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"1526944","17/11/2015","18:58","Ariosto Holanda","CE","PROS","74103","Sim"
"1526944","17/11/2015","18:58","Flavio Nogueira","PI","PDT","191923","Sim"
"1526944","17/11/2015","18:58","Zé Augusto Nalin","RJ","PMDB","191945","Sim"
"1526944","17/11/2015","18:58","Paulo Henrique Lustosa","CE","PP","141517","Sim"
"1526944","17/11/2015","18:58","Laura Carneiro","RJ","PMDB","74856","Sim"
"1526944","17/11/2015","18:58","Angela Albino","SC","PCdoB","192120","Sim"
"1526944","17/11/2015","18:58","Luiza Erundina","SP","PSB","74784","Sim"
"1526944","17/11/2015","18:58","Roberto Alves","SP","PRB","152610","Sim"
"1526944","17/11/2015","18:58","Lázaro Botelho","TO","PP","141480","Sim"
"1526944","17/11/2015","18:58","Sérgio Brito","BA","PSD","73808","Sim"
"1526944","17/11/2015","18:58","Osmar Serraglio","PR","PMDB","73463","Sim"
"1526944","17/11/2015","18:58","Bruno Araújo","PE","PSDB","141394","Sim"
"1526944","17/11/2015","18:58","Dimas Fabiano","MG","PP","160599","Sim"
"1526944","17/11/2015","18:58","Chico D Angelo","RJ","PT","141439","Sim"
"1526944","17/11/2015","18:58","Hélio Leite","PA","DEM","178909","Sim"
"1526944","17/11/2015","18:58","Maria do Rosário","RS","PT","74398","Sim"
"1526944","17/11/2015","18:58","Carlos Gomes","RS","PRB","178962","Sim"
"1526944","17/11/2015","18:58","Wolney Queiroz","PE","PDT","74439","Sim"
"1526944","17/11/2015","18:58","João Rodrigues","SC","PSD","160571","Sim"
"1526944","17/11/2015","18:58","Rubens Pereira Júnior","MA","PCdoB","178887","Sim"
"1526944","17/11/2015","18:58","Ricardo Tripoli","SP","PSDB","141472","Sim"
"1526944","17/11/2015","18:58","Dr. Jorge Silva","ES","PROS","160643","Sim"
"1526944","17/11/2015","18:58","Roney Nemer","DF","PMDB","178870","Sim"
"1526944","17/11/2015","18:58","Dulce Miranda","TO","PMDB","178994","Sim"
"1526944","17/11/2015","18:58","Décio Lima","SC","PT","141413","Sim"
"1526944","17/11/2015","18:58","Adelmo Carneiro Leão","MG","PT","178890","Sim"
"1526944","17/11/2015","18:58","Eduardo Bolsonaro","SP","PSC","92346","Sim"
"1526944","17/11/2015","18:58","Luiz Carlos Hauly","PR","PSDB","73778","Sim"
"1526944","17/11/2015","18:58","Luiz Couto","PB","PT","74041","Sim"
"1526944","17/11/2015","18:58","Afonso Florence","BA","PT","160508","Sim"
"1526944","17/11/2015","18:58","Hugo Leal","RJ","PROS","141450","Sim"
"1526944","17/11/2015","18:58","Arthur Lira","AL","PP","160541","Sim"
"1526944","17/11/2015","18:58","Irmão Lazaro","BA","PSC","178855","Sim"
"1526944","17/11/2015","18:58","Alan Rick","AC","PRB","178836","Sim"
"1526944","17/11/2015","18:58","Odelmo Leão","MG","PP","74752","Sim"
"1526944","17/11/2015","18:58","Alessandro Molon","RJ","REDE","160511","Sim"
"1526944","17/11/2015","18:58","Felipe Maia","RN","DEM","141429","Sim"
"1526944","17/11/2015","18:58","João Marcelo Souza","MA","PMDB","112437","Sim"
"1526944","17/11/2015","18:58","Vanderlei Macris","SP","PSDB","141553","Sim"
"1526944","17/11/2015","18:58","Remídio Monai","RR","PR","178960","Sim"
"1526944","17/11/2015","18:58","Aliel Machado","PR","REDE","178927","Sim"
"1526944","17/11/2015","18:58","Sérgio Moraes","RS","PTB","141542","Sim"
"1526944","17/11/2015","18:58","Jhonatan de Jesus","RR","PRB","160531","Sim"
"1526944","17/11/2015","18:58","Paulo Maluf","SP","PP","132056","Sim"
"1526944","17/11/2015","18:58","Hugo Motta","PB","PMDB","160674","Sim"
"1526944","17/11/2015","18:58","Daniel Almeida","BA","PCdoB","74060","Sim"
"1526944","17/11/2015","18:58","Esperidião Amin","SC","PP","160649","Sim"
"1526944","17/11/2015","18:58","Enio Verri","PR","PT","132504","Sim"
"1526944","17/11/2015","18:58","Fábio Faria","RN","PSD","141428","Sim"
"1526944","17/11/2015","18:58","Delegado Waldir","GO","PSDB","164359","Sim"
"1526944","17/11/2015","18:58","Helder Salomão","ES","PT","178873","Sim"
"1526944","17/11/2015","18:58","Nelson Marquezelli","SP","PTB","73553","Sim"
"1526944","17/11/2015","18:58","Valmir Prascidelli","SP","PT","113247","Sim"
"1526944","17/11/2015","18:58","Ricardo Barros","PR","PP","73788","Sim"
"1526944","17/11/2015","18:58","Janete Capiberibe","AP","PSB","73926","Sim"
"1526944","17/11/2015","18:58","Assis Carvalho","PI","PT","159237","Sim"
"1526944","17/11/2015","18:58","Miguel Haddad","SP","PSDB","178984","Sim"
"1526944","17/11/2015","18:58","Jovair Arantes","GO","PTB","73666","Sim"
"1526944","17/11/2015","18:58","Laercio Oliveira","SE","Solidaried","151208","Sim"
"1526944","17/11/2015","18:58","Delegado Edson Moreira","MG","PTN","178893","Sim"
"1526944","17/11/2015","18:58","Soraya Santos","RJ","PMDB","178946","Sim"
"1526944","17/11/2015","18:58","Gorete Pereira","CE","PR","129618","Sim"
"1526944","17/11/2015","18:58","Jandira Feghali","RJ","PCdoB","74848","Sim"
"1526944","17/11/2015","18:58","Adelson Barreto","SE","PTB","178968","Sim"
"1526944","17/11/2015","18:58","Newton Cardoso Jr","MG","PMDB","178896","Sim"
"1526944","17/11/2015","18:58","Alexandre Baldy","GO","PSDB","178875","Sim"
"1526944","17/11/2015","18:58","Pauderney Avelino","AM","DEM","74095","Sim"
"1526944","17/11/2015","18:58","Paulão","AL","PT","171617","Sim"
"1526944","17/11/2015","18:58","Raquel Muniz","MG","PSC","178998","Sim"
"1526944","17/11/2015","18:58","Jose Stédile","RS","PSB","160607","Sim"
"1526944","17/11/2015","18:58","Tiririca","SP","PR","160976","Sim"
"1526944","17/11/2015","18:58","Pr. Marco Feliciano","SP","PSC","160601","Sim"
"1526944","17/11/2015","18:58","Weliton Prado","MG","PT","160518","Sim"
"1526944","17/11/2015","18:58","Alexandre Leite","SP","DEM","160545","Sim"
"1526944","17/11/2015","18:58","Goulart","SP","PSD","178980","Sim"
"1526944","17/11/2015","18:58","Fernando Francischini","PR","Solidaried","160646","Sim"
"1526944","17/11/2015","18:58","Genecias Noronha","CE","Solidaried","160669","Sim"
"1526944","17/11/2015","18:58","Darcísio Perondi","RS","PMDB","73891","Sim"
"1526944","17/11/2015","18:58","Arnaldo Faria de Sá","SP","PTB","73434","Não"
"1526944","17/11/2015","18:58","Ronaldo Fonseca","DF","PROS","160637","Sim"
"1526944","17/11/2015","18:58","Shéridan","RR","PSDB","178961","Sim"
"1526944","17/11/2015","18:58","Flavinho","SP","PSB","178978","Sim"
"1526944","17/11/2015","18:58","Reginaldo Lopes","MG","PT","74161","Sim"
"1526944","17/11/2015","18:58","José Priante","PA","PMDB","74079","Sim"
"1526944","17/11/2015","18:58","Vicentinho","SP","PT","74283","Sim"
"1526944","17/11/2015","18:58","Aníbal Gomes","CE","PMDB","74212","Sim"
"1526944","17/11/2015","18:58","Delegado Éder Mauro","PA","PSD","178908","Sim"
"1526944","17/11/2015","18:58","Leopoldo Meyer","PR","PSB","160663","Sim"
"1526944","17/11/2015","18:58","Jorge Boeira","SC","PP","74388","Sim"
"1526944","17/11/2015","18:58","José Airton Cirilo","CE","PT","141464","Sim"
