"idProposicao","_Data","_Hora","_Nome","_UF","_Partido","_ideCadastro","_Voto"
"944251","20/8/2015","12:02","Luiza Erundina","SP","PSB","74784","Sim"
"944251","20/8/2015","12:02","Roberto Alves","SP","PRB","152610","Sim"
"944251","20/8/2015","12:02","Lázaro Botelho","TO","PP","141480","Sim"
"944251","20/8/2015","12:02","Erivelton Santana","BA","PSC","99654","Sim"
"944251","20/8/2015","12:02","Osmar Serraglio","PR","PMDB","73463","Não"
"944251","20/8/2015","12:02","Bruno Araújo","PE","PSDB","141394","Não"
"944251","20/8/2015","12:02","Cacá Leão","BA","PP","93083","Sim"
"944251","20/8/2015","12:02","Chico D Angelo","RJ","PT","141439","Sim"
"944251","20/8/2015","12:02","Hélio Leite","PA","DEM","178909","Não"
"944251","20/8/2015","12:02","Odorico Monteiro","CE","PT","178868","Sim"
"944251","20/8/2015","12:02","Carlos Gomes","RS","PRB","178962","Sim"
"944251","20/8/2015","12:02","Wolney Queiroz","PE","PDT","74439","Sim"
"944251","20/8/2015","12:02","João Rodrigues","SC","PSD","160571","Não"
"944251","20/8/2015","12:02","Rubens Pereira Júnior","MA","PCdoB","178887","Sim"
"944251","20/8/2015","12:02","Dr. Jorge Silva","ES","PROS","160643","Sim"
"944251","20/8/2015","12:02","Roney Nemer","DF","PMDB","178870","Não"
"944251","20/8/2015","12:02","Dulce Miranda","TO","PMDB","178994","Não"
"944251","20/8/2015","12:02","Décio Lima","SC","PT","141413","Sim"
"944251","20/8/2015","12:02","Adelmo Carneiro Leão","MG","PT","178890","Sim"
"944251","20/8/2015","12:02","Eduardo Bolsonaro","SP","PSC","92346","Não"
"944251","20/8/2015","12:02","Luiz Carlos Hauly","PR","PSDB","73778","Não"
"944251","20/8/2015","12:02","Luiz Couto","PB","PT","74041","Sim"
"944251","20/8/2015","12:02","Afonso Florence","BA","PT","160508","Sim"
"944251","20/8/2015","12:02","Arthur Lira","AL","PP","160541","Não"
"944251","20/8/2015","12:02","Aelton Freitas","MG","PR","141372","Sim"
"944251","20/8/2015","12:02","Alan Rick","AC","PRB","178836","Sim"
"944251","20/8/2015","12:02","Odelmo Leão","MG","PP","74752","Não"
"944251","20/8/2015","12:02","Marcos Soares","RJ","PR","178943","Sim"
"944251","20/8/2015","12:02","Alessandro Molon","RJ","PT","160511","Sim"
"944251","20/8/2015","12:02","Felipe Maia","RN","DEM","141429","Não"
"944251","20/8/2015","12:02","João Marcelo Souza","MA","PMDB","112437","Não"
"944251","20/8/2015","12:02","Aliel Machado","PR","PCdoB","178927","Sim"
"944251","20/8/2015","12:02","Francisco Chapadinha","PA","PSD","178907","Não"
"944251","20/8/2015","12:02","Fausto Pinato","SP","PRB","66828","Sim"
"944251","20/8/2015","12:02","Jhonatan de Jesus","RR","PRB","160531","Sim"
"944251","20/8/2015","12:02","Hugo Motta","PB","PMDB","160674","Não"
"944251","20/8/2015","12:02","Esperidião Amin","SC","PP","160649","Sim"
"944251","20/8/2015","12:02","Enio Verri","PR","PT","132504","Sim"
"944251","20/8/2015","12:02","Fábio Faria","RN","PSD","141428","Não"
"944251","20/8/2015","12:02","Delegado Waldir","GO","PSDB","164359","Não"
"944251","20/8/2015","12:02","Helder Salomão","ES","PT","178873","Sim"
"944251","20/8/2015","12:02","Valmir Prascidelli","SP","PT","113247","Sim"
"944251","20/8/2015","12:02","Assis Carvalho","PI","PT","159237","Sim"
"944251","20/8/2015","12:02","Miguel Haddad","SP","PSDB","178984","Não"
"944251","20/8/2015","12:02","Jovair Arantes","GO","PTB","73666","Não"
"944251","20/8/2015","12:02","Delegado Edson Moreira","MG","PTN","178893","Sim"
"944251","20/8/2015","12:02","Adalberto Cavalcanti","PE","PTB","178914","Não"
"944251","20/8/2015","12:02","Soraya Santos","RJ","PMDB","178946","Não"
"944251","20/8/2015","12:02","Gorete Pereira","CE","PR","129618","Não"
"944251","20/8/2015","12:02","Jandira Feghali","RJ","PCdoB","74848","Sim"
"944251","20/8/2015","12:02","Adelson Barreto","SE","PTB","178968","Não"
"944251","20/8/2015","12:02","Alexandre Baldy","GO","PSDB","178875","Não"
"944251","20/8/2015","12:02","Pauderney Avelino","AM","DEM","74095","Sim"
"944251","20/8/2015","12:02","Paulão","AL","PT","171617","Sim"
